,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,pop_weighted
2950,2021,AL,Alabama,Colbert,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.3,,,31.3,48.0,57474,1033,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.8014569 34.703112),1498.0,2258728.1999999997
7886,2021,AL,Alabama,Conecuh,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,45.3,,,36.7,53.7,11328,1035,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.9887221 31.4309257),1499.0,513158.39999999997
12015,2021,AL,Alabama,Coosa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.0,,,31.2,47.2,10450,1037,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.2434818 32.9314453),96.0,407550.0
6225,2021,AL,Alabama,Covington,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.2,,,32.5,48.2,37524,1039,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.4487206 31.2439873),1539.0,1508464.8
9127,2021,AL,Alabama,Crenshaw,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.2,,,30.0,46.3,13083,1041,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.3200384 31.7303106),1540.0,499770.60000000003
15213,2021,AL,Alabama,Cullman,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.7,,,30.3,45.7,89496,1043,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.8692666 34.1319229),1541.0,3373999.2
13299,2021,AL,Alabama,Dale,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.9,,,31.7,46.8,49342,1045,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.609476 31.4306536),97.0,1919403.7999999998
5629,2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,44.6,,,37.1,52.4,37619,1047,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.11436 32.3335263),1542.0,1677807.4000000001
3532,2021,AL,Alabama,DeKalb,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.0,,,33.6,48.9,71813,1049,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.8040207 34.4609148),1543.0,2944333.0
2359,2021,AL,Alabama,Elmore,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.8,,,31.7,46.2,89304,1051,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.1427347 32.597229),1544.0,3464995.1999999997
17676,2021,AL,Alabama,Escambia,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,45.8,,,37.8,54.0,36699,1053,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.1684097 31.1222867),1545.0,1680814.2
5270,2021,AL,Alabama,Etowah,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.3,,,32.5,46.4,103162,1055,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.0342629 34.0476407),98.0,4054266.5999999996
11722,2021,AL,Alabama,Fayette,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.7,,,30.0,45.8,16148,1057,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.7642923 33.7161568),1546.0,608779.6000000001
4010,2021,AL,Alabama,Franklin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,31.1,47.8,32013,1059,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.8428144 34.4419892),99.0,1251708.3
7570,2021,AL,Alabama,Geneva,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.6,,,33.6,49.6,26701,1061,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.8210224 31.0923822),1547.0,1110761.6
13224,2021,AL,Alabama,Greene,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,52.0,,,43.2,60.7,7629,1063,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.9642005 32.8444965),1548.0,396708.0
12128,2021,AL,Alabama,Hale,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,46.1,,,37.3,54.4,14754,1065,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.6230608 32.7527958),1549.0,680159.4
6414,2021,AL,Alabama,Henry,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.3,,,30.7,46.7,17459,1067,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.2399712 31.5169779),1550.0,668679.7
16753,2021,AL,Alabama,Houston,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.6,,,33.3,46.2,107458,1069,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.2964111 31.1581831),1551.0,4255336.8
11340,2021,AL,Alabama,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.7,,,29.6,46.0,52773,1071,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.9800556 34.764114),1630.0,1989542.1
4248,2021,AL,Alabama,Jefferson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.3,,,35.0,44.1,667820,1073,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.8965359 33.5534439),1583.0,26245325.999999996
5618,2021,AL,Alabama,Lamar,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.7,,,30.5,47.4,13689,1075,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.0874309 33.7870852),100.0,529764.3
892,2021,AL,Alabama,Lauderdale,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.0,,,30.4,46.0,94043,1077,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.6509966 34.9041221),1584.0,3573634.0
33,2021,AL,Alabama,Lawrence,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.3,,,33.3,49.6,33090,1079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3218651 34.529776),1585.0,1366617.0
13439,2021,AL,Alabama,Lee,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.9,,,32.5,45.0,177218,1081,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.3530477 32.6040644),1586.0,6893780.2
4715,2021,AL,Alabama,Limestone,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.6,,,29.5,44.2,107517,1083,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.9813995 34.8102387),3134.0,3935122.2
4235,2021,AL,Alabama,Lowndes,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,47.4,,,38.4,55.6,9965,1085,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.6505859 32.147888),1587.0,472341.0
692,2021,AL,Alabama,Macon,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,47.9,,,39.5,56.6,18895,1087,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.692887 32.3870267),101.0,905070.5
12468,2021,AL,Alabama,Madison,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.9,,,36.1,47.7,395211,1089,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.5510802 34.7642377),1588.0,16559340.899999999
14668,2021,AL,Alabama,Marengo,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,47.2,,,39.2,55.2,18996,1091,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.791091 32.2475911),1589.0,896611.2000000001
11258,2021,AL,Alabama,Marion,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.2,,,30.8,47.5,29246,1093,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.881551 34.1382194),102.0,1146443.2000000002
14705,2021,AL,Alabama,Marshall,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,34.6,,,27.8,42.3,98228,1095,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.3216681 34.3095637),1590.0,3398688.8000000003
11507,2021,AL,Alabama,Mobile,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.6,,,36.0,45.5,413073,1097,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.1965682 30.6845725),1591.0,16770763.8
15638,2021,AL,Alabama,Monroe,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,44.2,,,36.0,52.6,19648,1099,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3832656 31.5803324),1592.0,868441.6000000001
3150,2021,AL,Alabama,Montgomery,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.2,,,32.6,44.3,227434,1101,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.2044615 32.2028812),1593.0,8687978.8
6209,2021,AL,Alabama,Morgan,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.7,,,35.9,49.6,123668,1103,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.8464021 34.4544844),103.0,5280623.600000001
3635,2021,AL,Alabama,Perry,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,52.5,,,43.8,61.2,8355,1105,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.2938269 32.6390053),1631.0,438637.5
13581,2021,AL,Alabama,Pickens,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,44.9,,,36.9,53.3,18801,1107,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.0968644 33.2968003),1632.0,844164.9
8561,2021,AL,Alabama,Pike,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.5,,,34.2,49.5,32991,1109,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.9416076 31.7986533),1633.0,1369126.5
3367,2021,AL,Alabama,Randolph,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.1,,,32.7,48.3,21989,1111,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.4640637 33.2964614),104.0,881758.9
1474,2021,AL,Alabama,Russell,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.8,,,36.0,51.6,58722,1113,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.1869798 32.2898113),1634.0,2572023.5999999996
2874,2021,AL,Alabama,St. Clair,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.2,,,32.2,46.2,92748,1115,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.3113273 33.7194907),1635.0,3635721.6
16442,2021,AL,Alabama,Shelby,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.3,,,27.9,38.8,226902,1117,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.6780894 33.2630428),1636.0,7555836.6
17300,2021,AL,Alabama,Sumter,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,47.5,,,39.2,55.9,12164,1119,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.2000571 32.5974811),105.0,577790.0
1278,2021,AL,Alabama,Talladega,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,42.1,,,34.5,49.6,81524,1121,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-86.1759302 33.3693135),1637.0,3432160.4
15260,2021,AL,Alabama,Tallapoosa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.2,,,33.5,49.3,41023,1123,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-85.7996176 32.8633076),1638.0,1690147.6
17570,2021,AL,Alabama,Tuscaloosa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.6,,,36.1,47.0,227007,1125,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.5227834 33.2902197),1639.0,9443491.200000001
8833,2021,AL,Alabama,Walker,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.0,,,31.2,44.8,64818,1127,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3010936 33.7915581),1640.0,2463084.0
3778,2021,AL,Alabama,Washington,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.7,,,34.0,50.0,15147,1129,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-88.2124041 31.4085035),1641.0,631629.9
14282,2021,AL,Alabama,Wilcox,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,48.5,,,39.9,57.6,10446,1131,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3049349 31.9900824),106.0,506631.0
16476,2021,AL,Alabama,Winston,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,30.7,47.9,23652,1133,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3653458 34.1545665),1642.0,924793.2000000001
10545,2021,AK,Alaska,Aleutians East,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.3,,,24.5,38.7,3398,2013,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-161.9974772 55.2450437),107.0,106357.40000000001
4786,2021,AK,Alaska,Aleutians West,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.3,,,24.8,37.6,5059,2016,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (178.338813 51.9594469),,153287.7
8969,2021,AK,Alaska,Anchorage,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.9,,,29.0,37.0,288121,2020,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-149.2843294 61.1742503),1669.0,9479180.9
14679,2021,AK,Alaska,Bethel,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.1,,,36.3,49.7,18557,2050,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-160.1526246 60.9291413),108.0,799806.7000000001
14594,2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,35.6,,,28.5,42.9,838,2060,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-156.9668053 58.741661),1670.0,29832.800000000003
11859,2021,AK,Alaska,Chugach,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.4,,,28.1,34.7,6941,2063,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-146.2030924 60.4884737),1.0,217947.4
16025,2021,AK,Alaska,Copper River,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,34.9,,,30.7,39.4,2630,2066,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-143.9221674 62.034479),1.0,91787.0
5109,2021,AK,Alaska,Denali,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.6,,,21.4,34.5,1593,2068,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-150.0270164 63.6820386),1671.0,43966.8
13853,2021,AK,Alaska,Dillingham,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.7,,,33.7,47.9,4772,2070,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-158.2671226 59.5433255),1672.0,194220.40000000002
2455,2021,AK,Alaska,Fairbanks North Star,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.9,,,29.5,38.2,95593,2090,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-146.5481586 64.6760436),1673.0,3240602.6999999997
8170,2021,AK,Alaska,Haines,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.3,,,25.2,40.0,2071,2100,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-135.5757906 59.0984037),1674.0,66893.29999999999
14516,2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.6,,,30.7,46.7,2332,2105,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-135.884909 58.403336),109.0,90015.2
14188,2021,AK,Alaska,Juneau,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.9,,,26.0,35.7,31973,2110,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-134.1784454 58.3729099),1675.0,987965.7
15791,2021,AK,Alaska,Kenai Peninsula,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.4,,,26.7,35.8,59767,2122,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-152.0526403 60.360766),110.0,1876683.7999999998
7556,2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.3,,,27.9,39.4,13754,2130,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-131.1066847 55.4499378),111.0,458008.19999999995
8690,2021,AK,Alaska,Kodiak Island,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.0,,,24.0,36.3,12787,2150,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-153.9183721 57.7044003),,383610.0
15456,2021,AK,Alaska,Kusilvak,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,48.8,,,40.5,57.4,8360,2158,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-163.1901714 62.2835878),2.0,407968.0
16792,2021,AK,Alaska,Lake and Peninsula,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.6,,,32.0,47.4,1416,2164,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-156.4134134 58.1085067),113.0,56073.6
14235,2021,AK,Alaska,Matanuska-Susitna,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,35.2,,,30.9,39.4,110686,2170,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-149.5039935 62.2656263),1707.0,3896147.2
15653,2021,AK,Alaska,Nome,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.8,,,34.3,47.8,9865,2180,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-164.1889119 64.7836858),114.0,402492.0
7130,2021,AK,Alaska,North Slope,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.5,,,29.9,43.7,10972,2185,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-153.4728302 69.4493427),115.0,400478.0
8229,2021,AK,Alaska,Northwest Arctic,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,40.8,,,32.9,49.2,7560,2188,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-160.0210864 67.0050655),116.0,308448.0
14369,2021,AK,Alaska,Petersburg,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.7,,,24.2,37.8,3356,2195,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-133.0085979 57.1124581),117.0,103029.2
6160,2021,AK,Alaska,Prince of Wales-Hyder,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,31.5,46.6,5729,2198,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-133.1623885 55.6827733),1708.0,224003.9
8377,2021,AK,Alaska,Sitka,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.7,,,25.5,38.3,8407,2220,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-135.3673965 57.1932044),118.0,266501.89999999997
13912,2021,AK,Alaska,Skagway,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.9,,,25.4,41.1,1132,2230,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-135.3382787 59.5603794),1709.0,37242.799999999996
15502,2021,AK,Alaska,Southeast Fairbanks,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,34.0,,,28.3,40.0,6970,2240,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-143.2186282 63.8649972),983.0,236980.0
6792,2021,AK,Alaska,Wrangell,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.6,,,26.2,41.8,2055,2275,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-132.0267878 56.1807793),3.0,69048.0
8855,2021,AK,Alaska,Yakutat,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,35.7,,,27.8,44.0,704,2282,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-140.416942 60.0174528),984.0,25132.800000000003
14102,2021,AK,Alaska,Yukon-Koyukuk,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.4,,,30.3,44.7,5275,2290,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-151.5778496 65.3757271),4.0,197285.0
